identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version
LANCEMODIS:951970027,29002002,TERRA/MODIS,2020-02-16 02:35:00.000000,2020-02-16 02:40:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.078197479248,,
LAADS:5178391907,28002002,AQUA(CMR)/MODIS,2020-02-16 05:35:00.000000,2020-02-16 05:40:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.1687936782837,,
LANCEMODIS:952057974,28002002,AQUA(CMR)/MODIS,2020-02-16 05:35:00.000000,2020-02-16 05:40:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.1663970947266,,
LANCEMODIS:952670252,29002002,TERRA/MODIS,2020-02-17 03:15:00.000000,2020-02-17 03:20:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.96579551696777,,
LANCEMODIS:953247050,29002002,TERRA/MODIS,2020-02-18 02:20:00.000000,2020-02-18 02:25:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.32941341400146,,
LAADS:5180961280,28002002,AQUA(CMR)/MODIS,2020-02-17 04:40:00.000000,2020-02-17 04:45:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.3881664276123,,
LANCEMODIS:952689848,28002002,AQUA(CMR)/MODIS,2020-02-17 04:40:00.000000,2020-02-17 04:45:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.4019823074341,,
LAADS:5183195587,29002002,TERRA/MODIS,2020-02-18 02:20:00.000000,2020-02-18 02:25:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.31936359405518,,
LANCEMODIS:953989690,29002002,TERRA/MODIS,2020-02-19 03:05:00.000000,2020-02-19 03:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.1753425598145,,
LAADS:5183243097,28002002,AQUA(CMR)/MODIS,2020-02-18 05:25:00.000000,2020-02-18 05:30:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.91461181640625,,
LANCEMODIS:953315340,28002002,AQUA(CMR)/MODIS,2020-02-18 05:25:00.000000,2020-02-18 05:30:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.93186855316162,,
LAADS:5184130823,28002002,AQUA(CMR)/MODIS,2020-02-19 04:30:00.000000,2020-02-19 04:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.384765625,,
LAADS:5184271057,28002002,AQUA(CMR)/MODIS,2020-02-19 06:05:00.000000,2020-02-19 06:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.62287712097168,,
