City,Date,Cases, Population ,Square km,PopDense,temperature,pm10,humidity,no2
CITY OF MANDALUYONG,3/26/2020,10,"300,000.00",11.06,27124.77396,28.8,12,64.5,2.3
CITY OF MANDALUYONG,5/1/2020,3,"300,000.00",11.06,27124.77396,30.2,11,66.2,4.6
CITY OF MANDALUYONG,3/27/2020,12,"300,000.00",11.06,27124.77396,28.8,12,70.5,2.8
CITY OF MANDALUYONG,5/2/2020,1,"300,000.00",11.06,27124.77396,30.5,10,64.2,5.2
CITY OF MANDALUYONG,3/23/2020,8,"300,000.00",11.06,27124.77396,28.6,12,68.7,1.9
CITY OF MANDALUYONG,4/1/2020,10,"300,000.00",11.06,27124.77396,29.8,15,66.7,2.4
CITY OF MANDALUYONG,5/8/2020,1,"300,000.00",11.06,27124.77396,31.9,14,69,3.7
CITY OF MANDALUYONG,3/19/2020,1,"300,000.00",11.06,27124.77396,28.6,25,70.8,1.4
CITY OF MANDALUYONG,4/22/2020,1,"300,000.00",11.06,27124.77396,30.8,27,65.2,4.6
CITY OF MANDALUYONG,4/28/2020,1,"300,000.00",11.06,27124.77396,29.5,14,68,5.1
CITY OF MANDALUYONG,3/1/2020,2,"300,000.00",11.06,27124.77396,27.2,10,69.7,2.2
CITY OF MANDALUYONG,2/27/2020,1,"300,000.00",11.06,27124.77396,26.3,7,67,4.1
CITY OF MANDALUYONG,3/8/2020,2,"300,000.00",11.06,27124.77396,28.8,12,78,5
CITY OF MANDALUYONG,3/7/2020,2,"300,000.00",11.06,27124.77396,28.7,17,72.8,3.6
CITY OF MANDALUYONG,4/6/2020,11,"300,000.00",11.06,27124.77396,29.1,13,67.1,6
CITY OF MANDALUYONG,3/18/2020,9,"300,000.00",11.06,27124.77396,27.3,11,69,1.6
CITY OF MANDALUYONG,4/11/2020,3,"300,000.00",11.06,27124.77396,29,10,72.7,3.2
CITY OF MANDALUYONG,4/17/2020,3,"300,000.00",11.06,27124.77396,29.6,11,71.5,3.7
CITY OF MANDALUYONG,3/29/2020,6,"300,000.00",11.06,27124.77396,29.7,13,66.3,2.8
CITY OF MANDALUYONG,3/30/2020,13,"300,000.00",11.06,27124.77396,29.3,18,64,2.3
CITY OF MANDALUYONG,3/12/2020,8,"300,000.00",11.06,27124.77396,28.6,15,64.8,3.5
CITY OF MANDALUYONG,3/3/2020,2,"300,000.00",11.06,27124.77396,25.4,4,75.2,2.1
CITY OF MANDALUYONG,3/13/2020,7,"300,000.00",11.06,27124.77396,29.1,14,64.8,4.7
CITY OF MANDALUYONG,4/5/2020,12,"300,000.00",11.06,27124.77396,29.2,19,64.2,5.5
CITY OF MANDALUYONG,3/11/2020,4,"300,000.00",11.06,27124.77396,28.3,17,74.2,5.9
CITY OF MANDALUYONG,4/24/2020,1,"300,000.00",11.06,27124.77396,30.4,16,66.1,6
CITY OF MANDALUYONG,3/15/2020,8,"300,000.00",11.06,27124.77396,27.7,11,70,3.4
CITY OF MANDALUYONG,4/14/2020,5,"300,000.00",11.06,27124.77396,27.7,7,72.6,3.2
CITY OF MANDALUYONG,3/4/2020,1,"300,000.00",11.06,27124.77396,26.1,10,77.5,3.8
CITY OF MANDALUYONG,4/10/2020,7,"300,000.00",11.06,27124.77396,28.8,7,72.8,2.3
CITY OF MANDALUYONG,2/15/2020,1,"300,000.00",11.06,27124.77396,26.6,12,71.2,8.4
CITY OF MANDALUYONG,4/3/2020,5,"300,000.00",11.06,27124.77396,29.1,13,61.6,1.9
CITY OF MANDALUYONG,3/14/2020,9,"300,000.00",11.06,27124.77396,28.8,16,70,4.8
CITY OF MANDALUYONG,4/8/2020,7,"300,000.00",11.06,27124.77396,29.1,20,70.5,6.4
CITY OF MANDALUYONG,3/25/2020,6,"300,000.00",11.06,27124.77396,28,9,64,1.9
CITY OF MANDALUYONG,3/16/2020,8,"300,000.00",11.06,27124.77396,27,8,74,4.7
CITY OF MANDALUYONG,4/2/2020,5,"300,000.00",11.06,27124.77396,29.1,11,65.2,2
CITY OF MANDALUYONG,3/20/2020,9,"300,000.00",11.06,27124.77396,28.6,11,73.2,3.2
CITY OF MANDALUYONG,3/17/2020,7,"300,000.00",11.06,27124.77396,26.6,10,73,3.1
CITY OF MANDALUYONG,3/31/2020,12,"300,000.00",11.06,27124.77396,31.9,11,56.2,2.3
CITY OF MANDALUYONG,4/9/2020,4,"300,000.00",11.06,27124.77396,29.8,10,71,3.7
CITY OF MANDALUYONG,4/12/2020,11,"300,000.00",11.06,27124.77396,28.7,19,77,4.4
CITY OF MANDALUYONG,2/25/2020,2,"300,000.00",11.06,27124.77396,25.5,6,75,3.4
CITY OF MANDALUYONG,4/7/2020,10,"300,000.00",11.06,27124.77396,29.4,18,70.5,3.7
CITY OF MANDALUYONG,3/5/2020,1,"300,000.00",11.06,27124.77396,27.4,12,68,3.2
