City,Date Onset,Cases, Population ,Square km
CITY OF MANILA,5/15/2020,2," 1,600,000.00 ",42.88
CITY OF MANILA,5/16/2020,1," 1,600,000.00 ",42.88
CITY OF MANILA,5/17/2020,1," 1,600,000.00 ",42.88
CITY OF MANILA,5/19/2020,1," 1,600,000.00 ",42.88
CITY OF MANILA,5/2/2020,3," 1,600,000.00 ",42.88
CITY OF MANILA,5/21/2020,1," 1,600,000.00 ",42.88
CITY OF MANILA,5/22/2020,1," 1,600,000.00 ",42.88
CITY OF MANILA,5/3/2020,5," 1,600,000.00 ",42.88
CITY OF MANILA,5/4/2020,4," 1,600,000.00 ",42.88
CITY OF MANILA,5/5/2020,5," 1,600,000.00 ",42.88
CITY OF MANILA,5/6/2020,2," 1,600,000.00 ",42.88
CITY OF MANILA,5/8/2020,11," 1,600,000.00 ",42.88
CITY OF MANILA,5/9/2020,4," 1,600,000.00 ",42.88
CITY OF MARIKINA,2/19/2020,1," 450,741.00 ",21.52
CITY OF MARIKINA,2/29/2020,1," 450,741.00 ",21.52
CITY OF MARIKINA,3/1/2020,1," 450,741.00 ",21.52
CITY OF MARIKINA,3/10/2020,3," 450,741.00 ",21.52
CITY OF MARIKINA,3/11/2020,2," 450,741.00 ",21.52
CITY OF MARIKINA,3/12/2020,2," 450,741.00 ",21.52
CITY OF MARIKINA,3/13/2020,3," 450,741.00 ",21.52
CITY OF MARIKINA,3/14/2020,6," 450,741.00 ",21.52
CITY OF MARIKINA,3/15/2020,4," 450,741.00 ",21.52
CITY OF MARIKINA,3/17/2020,4," 450,741.00 ",21.52
CITY OF MARIKINA,3/18/2020,2," 450,741.00 ",21.52
CITY OF MARIKINA,3/19/2020,1," 450,741.00 ",21.52
CITY OF MARIKINA,3/2/2020,1," 450,741.00 ",21.52
CITY OF MARIKINA,3/20/2020,4," 450,741.00 ",21.52
CITY OF MARIKINA,3/21/2020,3," 450,741.00 ",21.52
CITY OF MARIKINA,3/22/2020,2," 450,741.00 ",21.52
CITY OF MARIKINA,3/23/2020,3," 450,741.00 ",21.52
CITY OF MARIKINA,3/24/2020,3," 450,741.00 ",21.52
CITY OF MARIKINA,3/25/2020,2," 450,741.00 ",21.52
CITY OF MARIKINA,3/26/2020,3," 450,741.00 ",21.52
